filename,beta,gamma,sim_id,num_rows,max_time,generated_at
b0.10_g0.50_sim20.csv,0.1,0.5,20,10,9.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim21.csv,0.1,0.5,21,9,8.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim22.csv,0.1,0.5,22,10,9.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim23.csv,0.1,0.5,23,11,10.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim24.csv,0.1,0.5,24,11,10.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim25.csv,0.1,0.5,25,12,11.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim26.csv,0.1,0.5,26,13,12.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim27.csv,0.1,0.5,27,10,9.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim28.csv,0.1,0.5,28,9,8.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim29.csv,0.1,0.5,29,9,8.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim30.csv,0.1,0.5,30,9,8.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim31.csv,0.1,0.5,31,9,8.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim32.csv,0.1,0.5,32,10,9.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim33.csv,0.1,0.5,33,11,10.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim34.csv,0.1,0.5,34,7,6.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim35.csv,0.1,0.5,35,9,8.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim36.csv,0.1,0.5,36,16,15.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim37.csv,0.1,0.5,37,11,10.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim38.csv,0.1,0.5,38,12,11.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim39.csv,0.1,0.5,39,11,10.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim40.csv,0.1,0.5,40,10,9.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim41.csv,0.1,0.5,41,10,9.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim42.csv,0.1,0.5,42,13,12.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim43.csv,0.1,0.5,43,11,10.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim44.csv,0.1,0.5,44,8,7.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim45.csv,0.1,0.5,45,15,14.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim46.csv,0.1,0.5,46,12,11.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim47.csv,0.1,0.5,47,10,9.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim48.csv,0.1,0.5,48,11,10.0,2025-04-07T21:22:44.761847
b0.10_g0.50_sim49.csv,0.1,0.5,49,19,18.0,2025-04-07T21:22:44.761847
b0.10_g0.60_sim0.csv,0.1,0.6,0,8,7.0,2025-04-07T21:22:44.761847
b0.10_g0.60_sim1.csv,0.1,0.6,1,8,7.0,2025-04-07T21:22:44.761847
b0.10_g0.60_sim2.csv,0.1,0.6,2,11,10.0,2025-04-07T21:22:44.761847
b0.10_g0.60_sim3.csv,0.1,0.6,3,13,12.0,2025-04-07T21:22:44.761847
b0.10_g0.60_sim4.csv,0.1,0.6,4,8,7.0,2025-04-07T21:22:44.761847
b0.10_g0.60_sim5.csv,0.1,0.6,5,10,9.0,2025-04-07T21:22:44.761847
b0.10_g0.60_sim6.csv,0.1,0.6,6,12,11.0,2025-04-07T21:22:44.761847
b0.10_g0.60_sim7.csv,0.1,0.6,7,10,9.0,2025-04-07T21:22:44.761847
b0.10_g0.60_sim8.csv,0.1,0.6,8,8,7.0,2025-04-07T21:22:44.761847
b0.10_g0.60_sim9.csv,0.1,0.6,9,10,9.0,2025-04-07T21:22:44.761847
b0.10_g0.60_sim10.csv,0.1,0.6,10,9,8.0,2025-04-07T21:22:44.761847
b0.10_g0.60_sim11.csv,0.1,0.6,11,10,9.0,2025-04-07T21:22:44.761847
b0.10_g0.60_sim12.csv,0.1,0.6,12,11,10.0,2025-04-07T21:22:44.761847
b0.10_g0.60_sim13.csv,0.1,0.6,13,11,10.0,2025-04-07T21:22:44.761847
b0.10_g0.60_sim14.csv,0.1,0.6,14,8,7.0,2025-04-07T21:22:44.761847
b0.10_g0.60_sim15.csv,0.1,0.6,15,10,9.0,2025-04-07T21:22:44.761847
b0.10_g0.60_sim16.csv,0.1,0.6,16,11,10.0,2025-04-07T21:22:44.761847
b0.10_g0.60_sim17.csv,0.1,0.6,17,8,7.0,2025-04-07T21:22:44.761847
b0.10_g0.60_sim18.csv,0.1,0.6,18,12,11.0,2025-04-07T21:22:44.761847
b0.10_g0.60_sim19.csv,0.1,0.6,19,9,8.0,2025-04-07T21:22:44.761847
b0.10_g0.60_sim20.csv,0.1,0.6,20,11,10.0,2025-04-07T21:22:44.761847
b0.10_g0.60_sim21.csv,0.1,0.6,21,12,11.0,2025-04-07T21:22:44.761847
b0.10_g0.60_sim22.csv,0.1,0.6,22,11,10.0,2025-04-07T21:22:44.761847
b0.10_g0.60_sim23.csv,0.1,0.6,23,19,18.0,2025-04-07T21:22:44.761847
b0.10_g0.60_sim24.csv,0.1,0.6,24,7,6.0,2025-04-07T21:22:44.761847
b0.10_g0.60_sim25.csv,0.1,0.6,25,10,9.0,2025-04-07T21:22:44.761847
b0.10_g0.60_sim26.csv,0.1,0.6,26,15,14.0,2025-04-07T21:22:44.761847
